[ 2025-04-02 02:54:17,580 ] News query failed: "Unrecognized event news."
[ 2025-04-02 03:02:35,661 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:02:35,675 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:02:35,701 ] News query failed: "Unrecognized event news."
[ 2025-04-02 03:04:28,981 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:04:29,031 ] Disconnected from gameserver
[ 2025-04-02 03:04:32,856 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:04:32,919 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:04:32,921 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:04:34,426 ] News query failed: "Unrecognized event news."
[ 2025-04-02 03:04:36,980 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:04:37,981 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:04:42,031 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:04:42,037 ] Disconnected from gameserver
[ 2025-04-02 03:04:43,162 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:04:43,217 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:04:43,218 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:04:44,229 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:05:10,334 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:05:10,379 ] Disconnected from gameserver
[ 2025-04-02 03:05:16,133 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:05:16,502 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:05:16,572 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:05:16,574 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:05:20,682 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:05:21,732 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:05:25,832 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:05:25,835 ] Disconnected from gameserver
[ 2025-04-02 03:05:26,958 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:05:27,006 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:05:27,008 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:05:27,021 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:07:50,431 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:07:50,476 ] Disconnected from gameserver
[ 2025-04-02 03:07:53,968 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:07:54,263 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:07:54,309 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:07:54,311 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:07:58,381 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:07:59,380 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:08:03,481 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:08:03,485 ] Disconnected from gameserver
[ 2025-04-02 03:08:04,614 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:08:04,662 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:08:04,665 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:08:04,679 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:16:28,944 ] Retrying to obtain clipboard.
[ 2025-04-02 03:16:29,151 ] Retrying to obtain clipboard.
[ 2025-04-02 03:17:55,746 ] Retrying to obtain clipboard.
[ 2025-04-02 03:17:55,797 ] Retrying to obtain clipboard.
[ 2025-04-02 03:19:30,352 ] Retrying to obtain clipboard.
[ 2025-04-02 03:19:30,403 ] Retrying to obtain clipboard.
[ 2025-04-02 03:21:42,224 ] Retrying to obtain clipboard.
[ 2025-04-02 03:24:44,572 ] Retrying to obtain clipboard.
[ 2025-04-02 03:24:52,879 ] Retrying to obtain clipboard.
[ 2025-04-02 03:24:53,024 ] Retrying to obtain clipboard.
[ 2025-04-02 03:24:59,131 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:24:59,177 ] Disconnected from gameserver
[ 2025-04-02 03:25:03,098 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:25:03,405 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:25:03,455 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:25:03,457 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:25:07,581 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:25:08,581 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:25:12,680 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:25:12,683 ] Disconnected from gameserver
[ 2025-04-02 03:25:13,814 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:25:13,860 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:25:13,862 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:25:13,877 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:25:53,433 ] Retrying to obtain clipboard.
[ 2025-04-02 03:25:53,484 ] Retrying to obtain clipboard.
[ 2025-04-02 03:28:24,131 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:28:24,176 ] Disconnected from gameserver
[ 2025-04-02 03:29:30,601 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:29:30,754 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:29:30,808 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:29:30,811 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:29:30,826 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:29:39,464 ] Retrying to obtain clipboard.
[ 2025-04-02 03:29:39,636 ] Retrying to obtain clipboard.
[ 2025-04-02 03:30:25,231 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:30:25,282 ] Disconnected from gameserver
[ 2025-04-02 03:30:29,771 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:30:30,177 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:30:30,237 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:30:30,280 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:30:34,330 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:30:35,330 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:30:39,397 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:32:01,881 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:32:01,933 ] Disconnected from gameserver
[ 2025-04-02 03:32:05,988 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:32:06,154 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:32:06,212 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:32:06,219 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:32:10,281 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:32:11,280 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:32:15,346 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:33:34,082 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:33:34,134 ] Disconnected from gameserver
[ 2025-04-02 03:33:41,052 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:33:41,693 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:33:41,748 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:33:41,750 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:33:45,831 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:33:46,831 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:33:50,380 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:37:20,174 ] Retrying to obtain clipboard.
[ 2025-04-02 03:37:20,224 ] Retrying to obtain clipboard.
[ 2025-04-02 03:38:53,798 ] Retrying to obtain clipboard.
[ 2025-04-02 03:38:53,849 ] Retrying to obtain clipboard.
[ 2025-04-02 03:38:53,964 ] Retrying to obtain clipboard.
[ 2025-04-02 03:40:13,332 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:40:13,379 ] Disconnected from gameserver
[ 2025-04-02 03:40:17,875 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:40:18,331 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:40:18,385 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:40:18,385 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:40:22,432 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:40:23,482 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:40:27,531 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:42:23,280 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:42:23,338 ] Disconnected from gameserver
[ 2025-04-02 03:42:26,817 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:42:27,113 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:42:27,162 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:42:27,164 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:42:31,231 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:42:32,281 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:42:36,381 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:42:36,391 ] Disconnected from gameserver
[ 2025-04-02 03:42:37,559 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:42:37,602 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:42:37,605 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:42:37,620 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:44:00,493 ] Retrying to obtain clipboard.
[ 2025-04-02 03:44:00,544 ] Retrying to obtain clipboard.
[ 2025-04-02 03:44:06,681 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:44:06,738 ] Disconnected from gameserver
[ 2025-04-02 03:44:25,453 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:44:25,946 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:44:25,996 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:44:25,998 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:44:30,081 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:44:31,080 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:44:33,116 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:45:01,676 ] Retrying to obtain clipboard.
[ 2025-04-02 03:45:08,246 ] Retrying to obtain clipboard.
[ 2025-04-02 03:45:08,297 ] Retrying to obtain clipboard.
[ 2025-04-02 03:45:12,547 ] Retrying to obtain clipboard.
[ 2025-04-02 03:46:30,324 ] Retrying to obtain clipboard.
[ 2025-04-02 03:46:47,100 ] Retrying to obtain clipboard.
[ 2025-04-02 03:46:47,236 ] Retrying to obtain clipboard.
[ 2025-04-02 03:46:47,404 ] Retrying to obtain clipboard.
[ 2025-04-02 03:47:50,836 ] Retrying to obtain clipboard.
[ 2025-04-02 03:47:50,988 ] Retrying to obtain clipboard.
[ 2025-04-02 03:48:42,692 ] Retrying to obtain clipboard.
[ 2025-04-02 03:48:42,744 ] Retrying to obtain clipboard.
[ 2025-04-02 03:48:42,829 ] Retrying to obtain clipboard.
[ 2025-04-02 03:49:30,772 ] Retrying to obtain clipboard.
[ 2025-04-02 03:49:30,939 ] Retrying to obtain clipboard.
[ 2025-04-02 03:49:50,628 ] Retrying to obtain clipboard.
[ 2025-04-02 03:50:23,427 ] Retrying to obtain clipboard.
[ 2025-04-02 03:50:23,479 ] Retrying to obtain clipboard.
[ 2025-04-02 03:50:23,580 ] Retrying to obtain clipboard.
[ 2025-04-02 03:53:21,724 ] Retrying to obtain clipboard.
[ 2025-04-02 03:53:37,219 ] Retrying to obtain clipboard.
[ 2025-04-02 03:56:11,281 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 03:56:11,330 ] Disconnected from gameserver
[ 2025-04-02 03:56:14,663 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:56:15,825 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 03:56:15,869 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 03:56:15,872 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:56:19,981 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 03:56:21,031 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 03:56:25,098 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 04:08:22,081 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 04:08:22,127 ] Disconnected from gameserver
[ 2025-04-02 04:08:22,161 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 13:09:27,150 ] Warning: Setting a new default format with a different version or profile after the global shared context is created may cause issues with context sharing.
[ 2025-04-02 13:09:27,980 ] Using spritesheet cache size of 910
[ 2025-04-02 13:09:32,722 ] Asset loading complete
[ 2025-04-02 13:09:33,666 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x19daf30dad0), parent's thread is QThread(0x19da6a90d10), current thread is QSGRenderThread(0x19db2a42120)
[ 2025-04-02 13:09:49,528 ] BattlEye: "Initialized (v1.249)"
[ 2025-04-02 13:09:49,528 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2025-04-02 13:09:49,528 ] BattlEye: "Restarting client is necessary, update required"
[ 2025-04-02 13:09:49,528 ] BattlEye: "Config entry: GameID tibia"
[ 2025-04-02 13:09:49,528 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-04-02 13:09:49,608 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 13:09:49,614 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 13:09:49,615 ] News query failed: "Unrecognized event news."
[ 2025-04-02 13:09:51,653 ] News query failed: "Unrecognized event news."
[ 2025-04-02 13:09:53,695 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 13:09:54,696 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 13:09:58,795 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 13:09:58,806 ] Disconnected from gameserver
[ 2025-04-02 13:10:00,107 ] Request connection to gameserver  "tcp://26.175.21.144:7172"  (unprotected:  "tcp://26.175.21.144:7172" )  requested (Charakter "Vastobr" )
[ 2025-04-02 13:10:00,108 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 13:10:02,141 ] News query failed: "Unrecognized event news."
[ 2025-04-02 13:10:04,196 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "Connection refused" )
[ 2025-04-02 13:10:05,246 ] Request connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 13:10:05,258 ] Connected to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"
[ 2025-04-02 13:11:32,366 ] Retrying to obtain clipboard.
[ 2025-04-02 13:11:32,417 ] Retrying to obtain clipboard.
[ 2025-04-02 13:11:32,546 ] Retrying to obtain clipboard.
[ 2025-04-02 13:11:32,597 ] Retrying to obtain clipboard.
[ 2025-04-02 13:11:32,648 ] Unable to obtain clipboard.
[ 2025-04-02 13:12:03,856 ] Retrying to obtain clipboard.
[ 2025-04-02 13:12:07,166 ] Retrying to obtain clipboard.
[ 2025-04-02 13:12:07,305 ] Retrying to obtain clipboard.
[ 2025-04-02 13:12:10,574 ] Retrying to obtain clipboard.
[ 2025-04-02 13:12:10,682 ] Retrying to obtain clipboard.
[ 2025-04-02 13:12:10,732 ] Retrying to obtain clipboard.
[ 2025-04-02 13:12:14,721 ] Retrying to obtain clipboard.
[ 2025-04-02 13:12:14,772 ] Retrying to obtain clipboard.
[ 2025-04-02 13:12:44,353 ] Retrying to obtain clipboard.
[ 2025-04-02 13:16:19,450 ] Retrying to obtain clipboard.
[ 2025-04-02 13:16:19,501 ] Retrying to obtain clipboard.
[ 2025-04-02 13:16:19,552 ] Unable to obtain clipboard.
[ 2025-04-02 13:16:24,895 ] Connection to gameserver  "tcp://26.175.21.144:7172" "VastoBR Otserver"  was disconnected ( "The remote host closed the connection" )
[ 2025-04-02 13:16:24,949 ] Disconnected from gameserver
[ 2025-04-02 13:16:28,892 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
[ 2025-04-02 13:16:29,587 ] Didn't send news query with params (HighPotential: true Returner: true MaxKnownEditDate: 0 ) (URL: QUrl("http://26.175.21.144/login.php") ) due to too many retries.
